"filename", "language", "GDResource", "GDScript", "gdshader", "GDScene", "Markdown", "JSON", "XML", "Shell Script", "Properties", "C#", "comment", "blank", "total"
"d:\Programming\Godot\Astra\.godot\editor\ButtonIndicator.tscn-editstate-0b72ef3b94017dad8c82216d16e81f37.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\ButtonIndicator.tscn-folding-0b72ef3b94017dad8c82216d16e81f37.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\Canon.gd-folding-a78d238a2e7b4c131d8b0a1e16c150eb.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Canon.tscn-editstate-e27d51d6178eda73c44ead68e2771078.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Canon.tscn-folding-e27d51d6178eda73c44ead68e2771078.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\Character.gd-folding-4658551123dd214a40cb7d3519fced7e.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Chip.tres-folding-d9195ebd65e74d57205dcc65ef871100.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Coin.tres-folding-d6aa1543c9f6a6281d27ba0ff19154d0.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Compass.tres-folding-ea373b87cef15c7f6e64af42a2fff653.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Connector.tscn-editstate-858e89ac8c955cf435153734288e61c4.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Connector.tscn-folding-858e89ac8c955cf435153734288e61c4.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\Core.tscn-editstate-d4476558fb7d2cd95a193d75ae6a7f44.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Core.tscn-folding-d4476558fb7d2cd95a193d75ae6a7f44.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\Credits.gd-folding-5630ab37d91dbe0d4c6a773c48ea3624.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Credits.tscn-editstate-ba10b6bf9b68ff95e16c5bbd546b3ea2.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Credits.tscn-folding-ba10b6bf9b68ff95e16c5bbd546b3ea2.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\CustomObjectSpawn.gd-folding-6287c82063595a7ecfea5a3fad1ef48d.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\DialogManager.gd-folding-85d98b4b538371ac2837d8f6f417bffe.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Dialogs.gd-folding-058e828aa5710547b5461184bf91dfca.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Disk.tres-folding-37e5e820a2b81b6597dc2609c6e6fe40.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Door.gd-folding-1b545a89a3a3312be62509b751c21210.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Door.tscn-editstate-d9f68004b8a39e9e6d54f33e7bfae7b9.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Door.tscn-folding-d9f68004b8a39e9e6d54f33e7bfae7b9.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\DoorClose.ogg-a3afbd984bc68529fcbf5adf36266e97.oggvorbisstr-folding-225c0ef42853ebe7543c59d3038e9f0f.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\DoorClose.ogg-b28f6a35dc17139af0044129486c4e3c.oggvorbisstr-folding-912f8a16a7e99470f7f2ce8bbf5bc77d.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\DoorOpen.ogg-4ab6df9bd4bb937cb4ecbe3c8c54b4d7.oggvorbisstr-folding-dbdf373ddf8e453225f45a6e6640643f.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Editor.gd-folding-3a9ddaebe1dcb03fe90117259d165427.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Editor.tscn-editstate-da1fe775029f94f1b37d28c0994d1a8f.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 2, 179
"d:\Programming\Godot\Astra\.godot\editor\Editor.tscn-folding-da1fe775029f94f1b37d28c0994d1a8f.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\Game.tscn-editstate-8ec1ce4394550eef6b399142f35b815f.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 2, 191
"d:\Programming\Godot\Astra\.godot\editor\Game.tscn-folding-8ec1ce4394550eef6b399142f35b815f.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\GameShader.gdshader-folding-e7b834539fe66320386256c54d063125.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Goal.gd-folding-37ce5e090305d37c5fb20bf85fa4e297.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Gum.tres-folding-33acebc97ef4cef6655cc45472292b37.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Item.gd-folding-0fc302f8978bf2e39538c6a04f92fd37.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Kl94.tres-folding-d0c114624c80e5b7df7a602709525c83.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Limits.gd-folding-26452a96cf0e5787c678b7efd4e8477a.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Menu.gd-folding-1d9294ee252bfcd240e64aca4eae31e6.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Menu.tscn-editstate-c66ca9adccb575bddabad42984d7fed5.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 2, 179
"d:\Programming\Godot\Astra\.godot\editor\Menu.tscn-folding-c66ca9adccb575bddabad42984d7fed5.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\MenuTheme.tres-folding-c299ef7f092f58f06bb0b5717c3aeaa9.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\NPC.gd-folding-f71c87401630d62613eecdb15391b363.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\NPC.tscn-editstate-0cfa7cb97d057a3b1a9561caffad3736.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\NPC.tscn-folding-0cfa7cb97d057a3b1a9561caffad3736.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\NPCPreset.gd-folding-98dcba0f65eea8b1d74ca2ae48119f5a.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\NPCSaveFile.gd-folding-54dc3977690b065f6e95c4d2e11f5b26.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\NPCSprite.tscn-folding-74ab3a58fc1db30287d9eb7efd0feee6.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\OST.mp3-6d85a8ad0d7814e209866fbc874c64c1.mp3str-folding-a51a00bb14fc65f3f48dacf18caa5f85.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\ObjectTileMap.gd-folding-b50169b6e7df4452bc2450602f01f814.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\ObjectTileMap.tres-folding-62f7020647f9ae2774de195b39cea453.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Options.gd-folding-4d21e663ef95d377596f5c92fc5a7494.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Player.gd-folding-5a8b1726f0b86e6078a31963eafd30b0.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Player.tscn-editstate-e3f3c13958299d5b5fecbaa27d1b1bdf.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 2, 179
"d:\Programming\Godot\Astra\.godot\editor\Player.tscn-folding-e3f3c13958299d5b5fecbaa27d1b1bdf.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\PlayerSaveFile.gd-folding-b7096cdbfcb9ff0ad6eefa0ccc9d4ca4.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Projectile.gd-folding-4720e6a111937bc4ef70d00e511285d8.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Projectile.tscn-editstate-93bd79114e546d6d94cbf78b5b47fc83.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Projectile.tscn-folding-93bd79114e546d6d94cbf78b5b47fc83.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\Quest.gd-folding-5ef6b8f539ed14b0491a32ec4f093c0b.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\QuestManager.gd-folding-53f49ae80bc133d844c31ccc7f36355f.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\QuestSaveFile.gd-folding-fce8da2dc3e9e35c8babed6eda5b4d9e.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Radio.tres-folding-6d4136cffc094453d83106cd3efc3b6d.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\SaveFile.gd-folding-ea46e9004547273aa7fa9e4b14c0c833.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Settings.gd-folding-3a48e0cadb7f86a98d6c774ec36c1932.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Settings.tscn-editstate-6cb79092696b70b71fb229c64f5a67c5.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Settings.tscn-folding-6cb79092696b70b71fb229c64f5a67c5.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\Ship.gd-folding-aa10ba3597bb5ac1028aeaf294cda51b.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Ship.tscn-editstate-002512f2e176591fb78e298d8e953eb8.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 2, 179
"d:\Programming\Godot\Astra\.godot\editor\Ship.tscn-folding-002512f2e176591fb78e298d8e953eb8.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\ShipManager.gd-folding-2e3eba5f074c0bd0776772029c33eda6.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\ShipPartScript.gd-folding-7efc3051a54c44b3902dc7c17225f107.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\ShipSaveFile.gd-folding-070116480a7c7baa9d673ed855161c71.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\SpaceMono-Bold.ttf-33c46ca97ae668d0a31b24e41e5fd85f.fontdata-folding-f4a36cc59e2d47ef585d7a51f733cf02.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\SpaceMono-BoldItalic.ttf-080e7a766dd38d7aede6614641bd7df2.fontdata-folding-4f4f4ef1772403c0598ab46131fa1684.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
